user_id,cluster_id,segment,treatment,cluster_treated_share,pre_period_msi,post_period_msi
0,0,casual,0,0.425,4.73,3.51
1,0,casual,1,0.425,5.87,5.01
2,0,casual,1,0.425,6.46,5.36
3,0,power,1,0.425,19.82,26.2
4,0,dormant,0,0.425,5.17,3.4
5,0,casual,1,0.425,3.46,5.67
6,0,casual,0,0.425,7.44,12.02
7,0,casual,0,0.425,6.54,6.09
8,0,casual,0,0.425,3.11,4.43
9,0,casual,0,0.425,0.78,6.56
10,0,casual,1,0.425,7.07,6.61
11,0,dormant,1,0.425,2.6,2.78
12,0,dormant,0,0.425,3.52,0.66
13,0,power,0,0.425,16.12,19.92
14,0,casual,0,0.425,1.89,2.17
15,0,dormant,0,0.425,3.6,3.09
16,0,dormant,0,0.425,0.21,0.7
17,0,casual,0,0.425,5.35,4.21
18,0,casual,0,0.425,7.51,3.63
19,0,power,1,0.425,12.66,17.81
20,0,dormant,0,0.425,1.1,0.28
21,0,dormant,1,0.425,0.0,0.0
22,0,dormant,1,0.425,1.14,3.95
23,0,power,0,0.425,9.1,16.21
24,0,casual,1,0.425,4.22,1.32
25,0,casual,0,0.425,5.23,4.44
26,0,dormant,0,0.425,0.49,1.39
27,0,casual,0,0.425,2.49,6.81
28,0,dormant,0,0.425,0.79,1.37
29,0,casual,0,0.425,5.64,8.53
30,0,dormant,1,0.425,1.59,1.77
31,0,power,1,0.425,11.84,14.59
32,0,casual,1,0.425,5.16,5.41
33,0,casual,1,0.425,9.68,6.6
34,0,dormant,1,0.425,1.1,0.0
35,0,casual,0,0.425,6.29,4.68
36,0,dormant,0,0.425,0.0,0.08
37,0,casual,1,0.425,7.24,5.63
38,0,dormant,0,0.425,1.84,0.54
39,0,casual,1,0.425,4.86,6.77
40,1,casual,0,0.475,6.54,5.39
41,1,casual,0,0.475,8.28,7.33
42,1,casual,0,0.475,1.28,0.62
43,1,casual,1,0.475,1.97,3.07
44,1,power,1,0.475,19.47,21.02
45,1,dormant,1,0.475,0.0,1.11
46,1,casual,1,0.475,6.14,7.23
47,1,casual,1,0.475,4.68,5.09
48,1,power,0,0.475,9.88,14.83
49,1,dormant,0,0.475,2.08,0.0
50,1,casual,1,0.475,7.57,9.23
51,1,casual,1,0.475,3.98,4.83
52,1,casual,0,0.475,6.36,5.29
53,1,casual,1,0.475,1.74,4.18
54,1,casual,0,0.475,6.18,9.75
55,1,casual,1,0.475,5.31,4.5
56,1,casual,0,0.475,1.67,3.82
57,1,casual,0,0.475,8.29,8.8
58,1,casual,0,0.475,6.22,6.25
59,1,casual,1,0.475,4.29,4.14
60,1,dormant,0,0.475,5.05,0.0
61,1,dormant,1,0.475,2.34,1.97
62,1,casual,0,0.475,8.9,9.9
63,1,casual,1,0.475,2.85,3.13
64,1,casual,0,0.475,7.63,4.21
65,1,dormant,1,0.475,0.0,1.99
66,1,casual,1,0.475,7.06,7.29
67,1,dormant,0,0.475,2.32,1.45
68,1,casual,1,0.475,7.91,8.16
69,1,casual,1,0.475,4.52,7.32
70,1,casual,0,0.475,8.94,9.12
71,1,casual,0,0.475,4.47,6.3
72,1,dormant,0,0.475,3.85,6.86
73,1,casual,1,0.475,7.79,6.44
74,1,dormant,0,0.475,0.85,3.57
75,1,casual,0,0.475,3.46,6.42
76,1,casual,0,0.475,3.2,3.75
77,1,casual,0,0.475,5.91,1.78
78,1,casual,1,0.475,5.13,7.08
79,1,casual,1,0.475,0.65,1.32
80,2,power,0,0.625,18.55,17.92
81,2,casual,1,0.625,7.1,8.64
82,2,dormant,0,0.625,2.81,1.94
83,2,casual,1,0.625,9.19,9.42
84,2,casual,1,0.625,5.54,8.65
85,2,dormant,1,0.625,0.0,0.08
86,2,power,1,0.625,16.98,18.0
87,2,power,1,0.625,10.14,13.36
88,2,casual,0,0.625,3.4,5.34
89,2,dormant,1,0.625,1.08,0.0
90,2,casual,0,0.625,7.15,8.23
91,2,casual,1,0.625,10.71,8.64
92,2,casual,1,0.625,6.81,10.99
93,2,casual,1,0.625,6.66,7.53
94,2,power,1,0.625,7.11,9.4
95,2,casual,1,0.625,5.41,4.5
96,2,dormant,0,0.625,0.0,0.0
97,2,power,0,0.625,19.39,21.17
98,2,casual,0,0.625,4.33,7.83
99,2,dormant,0,0.625,5.51,3.0
100,2,casual,1,0.625,6.25,8.47
101,2,power,1,0.625,8.7,9.69
102,2,power,1,0.625,10.14,16.86
103,2,power,0,0.625,15.07,12.17
104,2,casual,0,0.625,2.05,5.66
105,2,casual,1,0.625,7.32,8.97
106,2,casual,1,0.625,5.19,5.93
107,2,power,1,0.625,14.39,16.24
108,2,dormant,0,0.625,1.07,0.22
109,2,dormant,0,0.625,0.0,3.37
110,2,dormant,0,0.625,1.39,3.19
111,2,power,1,0.625,14.36,13.19
112,2,power,0,0.625,11.43,9.47
113,2,power,1,0.625,13.87,14.85
114,2,dormant,0,0.625,0.11,3.12
115,2,casual,1,0.625,3.06,0.07
116,2,casual,1,0.625,5.72,7.88
117,2,casual,1,0.625,4.22,3.88
118,2,dormant,1,0.625,0.0,2.4
119,2,dormant,1,0.625,0.0,4.51
120,3,casual,1,0.5,5.58,4.88
121,3,casual,0,0.5,3.39,5.33
122,3,dormant,0,0.5,0.65,2.6
123,3,dormant,0,0.5,0.0,0.67
124,3,casual,0,0.5,0.0,2.03
125,3,casual,1,0.5,7.75,4.92
126,3,casual,0,0.5,7.22,1.02
127,3,casual,1,0.5,3.71,4.7
128,3,casual,0,0.5,9.85,6.34
129,3,power,0,0.5,7.85,11.72
130,3,power,1,0.5,17.97,18.09
131,3,power,1,0.5,15.92,19.51
132,3,casual,0,0.5,5.6,9.71
133,3,casual,0,0.5,10.0,10.77
134,3,power,0,0.5,18.48,18.39
135,3,casual,1,0.5,5.25,5.78
136,3,dormant,0,0.5,3.97,2.44
137,3,dormant,1,0.5,4.15,0.07
138,3,casual,0,0.5,7.45,5.26
139,3,casual,0,0.5,7.99,6.98
140,3,casual,1,0.5,4.4,3.53
141,3,dormant,1,0.5,2.39,2.23
142,3,dormant,0,0.5,0.0,2.55
143,3,casual,1,0.5,2.64,3.6
144,3,power,1,0.5,9.38,14.25
145,3,casual,1,0.5,6.02,8.32
146,3,dormant,0,0.5,2.7,1.56
147,3,dormant,1,0.5,5.73,2.08
148,3,dormant,0,0.5,3.26,0.72
149,3,power,0,0.5,12.08,13.62
150,3,casual,1,0.5,4.3,7.8
151,3,casual,1,0.5,0.0,5.3
152,3,dormant,0,0.5,1.88,0.0
153,3,dormant,1,0.5,2.14,4.95
154,3,casual,1,0.5,1.98,5.59
155,3,dormant,0,0.5,1.28,2.45
156,3,casual,1,0.5,7.33,7.78
157,3,power,1,0.5,17.87,21.72
158,3,casual,1,0.5,7.14,9.72
159,3,casual,0,0.5,7.57,8.37
160,4,dormant,1,0.575,0.0,3.52
161,4,casual,0,0.575,4.37,4.51
162,4,dormant,0,0.575,0.24,0.0
163,4,dormant,1,0.575,2.87,3.02
164,4,casual,0,0.575,6.28,4.69
165,4,dormant,0,0.575,0.68,2.19
166,4,dormant,1,0.575,0.0,0.17
167,4,dormant,1,0.575,2.67,2.36
168,4,dormant,1,0.575,4.4,4.5
169,4,casual,1,0.575,9.71,11.02
170,4,power,1,0.575,9.46,12.1
171,4,casual,1,0.575,1.61,4.58
172,4,casual,1,0.575,7.44,8.05
173,4,casual,1,0.575,7.5,9.71
174,4,dormant,0,0.575,1.53,3.1
175,4,dormant,0,0.575,0.0,0.0
176,4,casual,0,0.575,4.55,8.56
177,4,casual,1,0.575,1.74,3.42
178,4,power,1,0.575,13.86,17.3
179,4,casual,0,0.575,1.34,2.9
180,4,dormant,0,0.575,2.49,0.0
181,4,dormant,0,0.575,1.23,0.0
182,4,casual,1,0.575,8.81,5.32
183,4,casual,1,0.575,3.09,2.02
184,4,casual,0,0.575,2.11,2.08
185,4,power,0,0.575,19.84,17.46
186,4,dormant,1,0.575,0.78,0.0
187,4,dormant,0,0.575,0.0,0.0
188,4,casual,0,0.575,2.61,4.07
189,4,casual,0,0.575,6.07,8.15
190,4,power,1,0.575,20.7,24.9
191,4,dormant,0,0.575,3.72,1.19
192,4,casual,1,0.575,2.29,3.78
193,4,casual,1,0.575,12.05,12.43
194,4,casual,1,0.575,9.51,9.43
195,4,dormant,1,0.575,1.98,4.31
196,4,power,1,0.575,16.77,17.82
197,4,dormant,0,0.575,1.55,1.33
198,4,power,1,0.575,14.48,18.67
199,4,power,1,0.575,13.7,17.91
200,5,casual,0,0.425,3.4,3.41
201,5,casual,1,0.425,4.17,6.58
202,5,casual,1,0.425,8.1,11.24
203,5,dormant,0,0.425,2.4,3.31
204,5,dormant,0,0.425,3.42,0.0
205,5,dormant,1,0.425,0.0,0.0
206,5,power,1,0.425,16.52,19.2
207,5,dormant,0,0.425,0.0,1.15
208,5,dormant,0,0.425,3.01,2.3
209,5,power,0,0.425,14.3,14.69
210,5,casual,1,0.425,3.42,4.35
211,5,dormant,0,0.425,0.62,0.54
212,5,power,1,0.425,3.73,7.99
213,5,casual,0,0.425,6.99,7.69
214,5,dormant,0,0.425,0.2,1.92
215,5,casual,1,0.425,5.32,6.66
216,5,dormant,0,0.425,2.85,0.88
217,5,dormant,1,0.425,0.62,4.03
218,5,casual,1,0.425,8.44,8.84
219,5,dormant,0,0.425,0.0,0.25
220,5,casual,0,0.425,3.62,3.81
221,5,dormant,1,0.425,2.83,2.69
222,5,dormant,1,0.425,5.89,3.69
223,5,casual,0,0.425,7.24,7.91
224,5,dormant,0,0.425,1.33,1.87
225,5,dormant,0,0.425,2.79,1.62
226,5,dormant,0,0.425,1.78,3.44
227,5,dormant,1,0.425,0.92,1.66
228,5,casual,0,0.425,7.17,6.14
229,5,casual,0,0.425,5.49,7.14
230,5,dormant,1,0.425,3.32,0.0
231,5,casual,0,0.425,6.61,5.96
232,5,casual,0,0.425,5.56,4.11
233,5,casual,0,0.425,4.12,4.23
234,5,casual,1,0.425,2.27,4.47
235,5,casual,0,0.425,3.59,5.0
236,5,dormant,1,0.425,0.0,1.66
237,5,power,1,0.425,11.05,15.34
238,5,casual,0,0.425,6.68,5.43
239,5,power,1,0.425,5.35,8.36
240,6,casual,1,0.475,4.89,6.13
241,6,dormant,0,0.475,2.79,3.44
242,6,casual,1,0.475,2.18,6.26
243,6,casual,1,0.475,3.58,4.87
244,6,dormant,0,0.475,0.0,1.18
245,6,power,1,0.475,15.5,14.8
246,6,casual,1,0.475,8.44,10.39
247,6,casual,1,0.475,5.77,8.92
248,6,casual,0,0.475,5.12,2.86
249,6,casual,1,0.475,7.53,8.77
250,6,casual,0,0.475,8.47,7.56
251,6,dormant,1,0.475,2.36,1.19
252,6,casual,1,0.475,5.41,6.38
253,6,casual,0,0.475,0.79,3.28
254,6,dormant,1,0.475,0.0,0.0
255,6,power,0,0.475,10.78,13.38
256,6,dormant,0,0.475,0.0,0.0
257,6,casual,0,0.475,7.21,8.35
258,6,casual,0,0.475,3.46,2.62
259,6,dormant,0,0.475,0.0,0.92
260,6,casual,0,0.475,4.61,4.43
261,6,casual,1,0.475,6.88,7.72
262,6,dormant,1,0.475,3.23,1.06
263,6,power,0,0.475,16.37,22.46
264,6,casual,0,0.475,4.94,10.29
265,6,casual,1,0.475,3.09,4.2
266,6,casual,0,0.475,8.47,7.23
267,6,casual,1,0.475,4.49,6.14
268,6,casual,1,0.475,9.92,10.79
269,6,casual,1,0.475,2.3,3.42
270,6,dormant,0,0.475,3.72,0.0
271,6,power,0,0.475,18.91,18.83
272,6,dormant,1,0.475,0.0,1.62
273,6,casual,0,0.475,2.64,3.81
274,6,casual,0,0.475,6.06,6.19
275,6,casual,0,0.475,3.86,7.31
276,6,power,1,0.475,14.23,16.17
277,6,dormant,0,0.475,1.75,0.0
278,6,casual,0,0.475,6.89,6.42
279,6,power,1,0.475,19.86,25.5
280,7,casual,1,0.775,7.96,8.47
281,7,casual,1,0.775,7.95,7.3
282,7,dormant,0,0.775,1.3,1.9
283,7,dormant,0,0.775,0.0,0.0
284,7,dormant,1,0.775,0.0,0.0
285,7,casual,1,0.775,2.31,5.03
286,7,casual,0,0.775,2.49,3.93
287,7,casual,1,0.775,4.48,7.78
288,7,power,0,0.775,7.27,9.05
289,7,casual,1,0.775,10.97,8.28
290,7,casual,1,0.775,3.07,6.83
291,7,casual,1,0.775,7.88,9.79
292,7,casual,1,0.775,5.48,3.57
293,7,casual,0,0.775,3.09,4.62
294,7,dormant,0,0.775,0.59,0.83
295,7,casual,1,0.775,0.32,1.95
296,7,casual,1,0.775,4.66,3.32
297,7,dormant,1,0.775,0.0,2.11
298,7,casual,0,0.775,6.09,7.63
299,7,dormant,1,0.775,1.24,3.45
300,7,dormant,1,0.775,0.0,0.73
301,7,casual,1,0.775,4.98,4.51
302,7,dormant,1,0.775,3.9,4.87
303,7,power,1,0.775,8.71,13.63
304,7,casual,0,0.775,4.51,3.5
305,7,dormant,1,0.775,0.0,1.86
306,7,dormant,1,0.775,3.12,3.52
307,7,casual,1,0.775,7.57,9.47
308,7,casual,1,0.775,7.63,3.18
309,7,casual,1,0.775,3.08,9.05
310,7,dormant,1,0.775,0.05,2.0
311,7,power,1,0.775,18.29,22.13
312,7,dormant,1,0.775,3.84,3.41
313,7,dormant,1,0.775,0.0,2.86
314,7,casual,1,0.775,4.42,9.3
315,7,casual,1,0.775,9.87,11.13
316,7,casual,0,0.775,5.16,5.12
317,7,casual,1,0.775,10.39,9.87
318,7,dormant,1,0.775,1.99,1.14
319,7,casual,1,0.775,6.77,6.29
320,8,casual,1,0.4,2.73,3.76
321,8,casual,0,0.4,4.8,1.92
322,8,dormant,1,0.4,2.12,1.28
323,8,power,0,0.4,7.04,6.8
324,8,casual,0,0.4,6.28,7.18
325,8,casual,1,0.4,5.97,4.77
326,8,casual,1,0.4,1.61,4.23
327,8,power,0,0.4,15.24,16.46
328,8,casual,1,0.4,6.72,7.68
329,8,dormant,1,0.4,3.36,0.67
330,8,power,0,0.4,7.14,8.19
331,8,dormant,0,0.4,5.82,1.18
332,8,casual,0,0.4,7.45,9.67
333,8,dormant,0,0.4,3.59,4.54
334,8,casual,0,0.4,2.98,2.88
335,8,power,0,0.4,1.85,3.67
336,8,casual,0,0.4,5.2,5.06
337,8,dormant,1,0.4,0.24,0.7
338,8,power,0,0.4,19.86,23.1
339,8,casual,1,0.4,8.0,8.77
340,8,power,0,0.4,12.83,12.65
341,8,power,1,0.4,14.46,19.12
342,8,casual,0,0.4,5.44,5.54
343,8,casual,1,0.4,4.47,8.95
344,8,dormant,1,0.4,1.43,2.38
345,8,dormant,1,0.4,2.72,0.0
346,8,power,1,0.4,15.78,17.76
347,8,dormant,0,0.4,3.84,2.85
348,8,casual,0,0.4,7.55,9.14
349,8,casual,0,0.4,3.78,7.78
350,8,dormant,1,0.4,0.13,2.78
351,8,casual,0,0.4,2.99,4.34
352,8,casual,1,0.4,6.19,7.41
353,8,casual,0,0.4,8.56,9.77
354,8,casual,0,0.4,7.37,8.12
355,8,casual,0,0.4,8.2,8.23
356,8,casual,0,0.4,4.65,5.44
357,8,casual,1,0.4,6.54,7.99
358,8,power,0,0.4,9.44,13.18
359,8,dormant,0,0.4,0.37,0.0
360,9,casual,1,0.55,6.55,7.32
361,9,power,1,0.55,17.91,23.56
362,9,casual,1,0.55,8.99,10.35
363,9,casual,1,0.55,1.75,4.26
364,9,casual,1,0.55,8.18,6.09
365,9,power,0,0.55,6.19,7.81
366,9,power,0,0.55,10.01,14.86
367,9,casual,0,0.55,5.31,4.54
368,9,casual,0,0.55,5.95,7.07
369,9,dormant,0,0.55,0.0,3.4
370,9,casual,1,0.55,2.39,8.39
371,9,dormant,1,0.55,0.97,0.0
372,9,casual,0,0.55,4.81,7.82
373,9,dormant,1,0.55,2.76,0.38
374,9,power,1,0.55,14.97,17.6
375,9,casual,1,0.55,4.94,3.18
376,9,casual,1,0.55,7.83,8.22
377,9,dormant,0,0.55,1.34,1.94
378,9,casual,1,0.55,8.08,9.67
379,9,casual,0,0.55,5.75,4.95
380,9,casual,1,0.55,4.54,4.54
381,9,casual,1,0.55,3.95,4.23
382,9,dormant,0,0.55,0.37,0.03
383,9,casual,1,0.55,5.56,3.17
384,9,casual,0,0.55,9.84,9.43
385,9,casual,1,0.55,6.61,7.27
386,9,dormant,0,0.55,0.0,0.0
387,9,casual,0,0.55,8.28,6.82
388,9,casual,1,0.55,8.03,7.55
389,9,casual,0,0.55,5.65,6.79
390,9,casual,1,0.55,2.63,3.82
391,9,dormant,0,0.55,0.3,0.0
392,9,casual,1,0.55,10.0,8.63
393,9,dormant,0,0.55,1.17,2.92
394,9,dormant,0,0.55,2.76,5.51
395,9,dormant,1,0.55,2.14,3.52
396,9,casual,0,0.55,7.75,6.47
397,9,dormant,1,0.55,3.04,2.76
398,9,casual,0,0.55,6.71,7.16
399,9,casual,1,0.55,3.87,3.81
400,10,power,0,0.325,23.9,20.45
401,10,casual,0,0.325,1.65,3.51
402,10,casual,0,0.325,6.94,7.14
403,10,dormant,0,0.325,1.81,2.92
404,10,casual,0,0.325,5.54,8.11
405,10,casual,0,0.325,3.78,3.14
406,10,casual,1,0.325,10.99,9.65
407,10,dormant,1,0.325,0.0,2.95
408,10,dormant,0,0.325,2.56,3.5
